,entity
5722,ESFAHAN'S MOBARAKEH STEEL COMPANY
5723,ANDISHEH MEHVARAN INVESTMENT COMPANY
5724,PARSIAN BANK
5725,SINA BANK
5726,BAHMAN GROUP
5727,AFAQ DUBAI
5728,"RODRIGUEZ GOMEZ, Delcy Eloina"
5729,"RODRIGUEZ GOMEZ, Jorge Jesus"
5730,"FLORES DE MADURO, Cilia Adela"
5731,"PADRINO LOPEZ, Vladimir"
5732,"AVERUCA, C.A."
5733,"PAREDES, Jose Omar"
5734,QUIANA TRADING LIMITED
5735,"SARRIA DIAZ, Edgar Alberto"
5736,PANAZEATE SL
5737,"KRYMTETS, AO"
5738,LIMITED LIABILITY COMPANY INFRASTRUCTURE PROJECTS MANAGEMENT COMPANY
5739,IYARI
5740,"AL-AMIN, Muhammad 'Abdallah"
5741,"BODECARNE, S.A. DE C.V."
5742,SIERRA GAS S.A.L. OFFSHORE
5743,LAMA FOODS S.A.R.L.
5744,LAMA FOODS INTERNATIONAL OFFSHORE S.A.L.
5745,IMPULSE INTERNATIONAL S.A.L. OFFSHORE
5746,IMPULSE S.A.R.L.
5747,M. MARINE S.A.L. OFFSHORE
5748,THAINGUI S.A.L. OFFSHORE
5749,"SANDOVAL CASTANEDA, Roberto"
5750,"LOPEZ TORRES, Ana Lilia"
5751,"SANDOVAL LOPEZ, Lidy Alejandra"
5752,"SANDOVAL LOPEZ, Pablo Roberto"
5753,JOINT STOCK COMPANY SANATORIUM AY-PETRI
5754,JOINT STOCK COMPANY SANATORIUM DYULBER
5755,JOINT STOCK COMPANY SANATORIUM MISKHOR
5756,"ZARITSKY, Vladimir Nikolaevich"
5757,LIMITED LIABILITY COMPANY GARANT-SV
5758,MRIYA RESORT & SPA
5759,IRAN AIR
5760,DORITA
5761,GILDA
5762,KADOS
5763,KASMA
5764,NARDIS
5765,PARAND
5766,PARIN
5767,PARMIS
5768,PATRIS
5769,SABRINA
5770,SANIA
5771,SARINA
5772,SARIR
5773,SOMIA
5774,TARADIS
5775,VIANA
5776,VISTA
5777,AAJ
5778,AYNAZ
5779,BRELYAN
5780,FIROUZEH
5781,IRAN HORMUZ 25
5782,HORMUZ 2
5783,IRAN HORMUZ 12
5784,IRAN HORMUZ 14
5785,IRAN SHAHED
5786,NEGEEN
5787,IRAN SHALAMCHEH
5788,TABAN 1
5789,SHAYAN 1
5790,YARAN
5791,ZOMOROUD
5792,ALVAN
5793,ARIES
5794,ARTABAZ
5795,ARTAM
5796,ARTENOS
5797,ARTIN
5798,ARZIN
5799,AYSAN
5800,AZARGOUN
5801,BASHT
5802,BEHDAD
5803,BEHNAVAZ
5804,ELYANA
5805,GOLAFRUZ
5806,GOLSAN
5807,GOLSAR
5808,"YAN, Xiaobing"
5809,JAIRAN
5810,MAHNAM
5811,NESHAT
5812,PARNIA
5813,SHABGOUN
5814,SHAHR E KORD
5815,TOUSKA
5816,HAMD
5817,CANREACH
5818,HYUNDAI MIPO 2655
5819,HYUNDAI MIPO 2656
5820,HYUNDAI MIPO 2657
5821,IRAN CHARAK
5822,IRAN HORMUZ 22
5823,IRAN PARAK
5824,IRAN SHALAK
5825,IRAN YOUSHAT
5826,KASHAN
5827,SOBHAN
5828,ABBA
5829,ABTIN 1
5830,ABYAN
5831,ANDIA
5832,ARDAVAN
5833,ARTAVAND
5834,ARVIN
5835,"SUSHKO, Andriy Volodymyrovych"
5836,BAHJAT
5837,FANREACH
5838,BATIS
5839,BEHDOKHT
5840,GOLBON
5841,HAMGAM
5842,KHURAN
5843,MIAMI PRIDE
5844,OURA
5845,GOODREACH
5846,TENREACH
5847,ROSHAK
5848,SHAMIM
5849,SHIBA
5850,AMINA
5851,AREZOO
5852,ARSHAM
5853,ARTARIA
5854,ARTMAN
5855,AVANG
5856,BASKAR
5857,BAVAND
5858,BEHSHAD
5859,BEHTA
5860,CASPIA
5861,DARYABAR
5862,DELICE
5863,DELNAVAZ
5864,DELRUBA
5865,DEVREZ
5866,GANJ
5867,KIAZAND
5868,MENA
5869,NEGAR
5870,NOOR 1
5871,PARISAN
5872,PARSHAD
5873,PARSHAN
5874,PERARIN
5875,SARVIN
5876,SAVIZ
5877,SHABDIS
5878,SHAHRAZ
5879,TABUK
5880,TERMEH
5881,WARTA
5882,ZARDIS
5883,ISLAMIC REPUBLIC OF IRAN SHIPPING LINES
5884,"IBRAHIM, Sadr"
5885,"MAJID, Hafiz Abdul"
5886,"FAROQUI, Abdullah Samad"
5887,"MUZZAMIL, Mohammad Daoud"
5888,"MANAN, Abdul Rahim"
5889,ARIAN BANK
5890,BANK KARGOSHAEE
5891,MB BANK
5892,MELLI BANK PLC
5893,TOSE-E MELLI GROUP INVESTMENT COMPANY
5894,BEHSHAHR INDUSTRIAL DEVELOPMENT CORP.
5895,CEMENT INDUSTRY INVESTMENT AND DEVELOPMENT COMPANY
5896,MELLI INTERNATIONAL BUILDING & INDUSTRY COMPANY
5897,TOSE-E MELLI INVESTMENT COMPANY
5898,NATIONAL INDUSTRIES AND MINING DEVELOPMENT COMPANY
5899,GHESHM SHIPPING LINES MARINE AND ENGINEERING SERVICES CO
5900,IRISL EUROPE GMBH
5901,IRISL MULTIMODAL TRANSPORT CO.
5902,IRISL MARITIME TRAINING INSTITUTE
5903,ISLAMIC REPUBLIC OF IRAN SHIPPING LINES INVESTMENT
5904,"VALOR Y PRINCIPIO DE DAR, ASOCIACION CIVIL"
5905,SHIPPING COMPUTER SERVICES COMPANY
5906,PERSIAN GULF SHIPPING LINES LTD
5907,"BASOV, Aleksandr Vasilevich"
5908,MINISTRY OF STATE SECURITY
5909,SOUTH SHIPPING LINES - IRAN LINE
5910,VALFAJR SHIPPING COMPANY PJS
5911,BANK SEPAH INTERNATIONAL PLC
5912,IRANO HIND SHIPPING COMPANY LTD
5913,BIIS MARITIME LIMITED
5914,"CHAGHAZARDY, Mohammad Kazem"
5915,ISI MARITIME LIMITED
5916,ISIM TAJ MAHAL LIMITED
5917,ISIM ATR LIMITED
5918,ISIM SININ LIMITED
5919,IRANO MISR SHIPPING COMPANY
5920,SAFIRAN PAYAM DARYA SHIPPING COMPANY
5921,KHAZAR SEA SHIPPING LINES
5922,HAFEZ DARYA ARYA SHIPPING COMPANY
5923,DARYA CAPITAL ADMINISTRATION GMBH
5924,OCEAN CAPITAL ADMINISTRATION GMBH
5925,NARI SHIPPING AND CHARTERING GMBH & CO. KG
5926,FIRST OCEAN ADMINISTRATION GMBH
5927,FIRST OCEAN GMBH & CO KG
5928,FOURTH OCEAN GMBH & CO KG
5929,EIGHTH OCEAN GMBH & CO. KG
5930,NINTH OCEAN GMBH & CO. KG
5931,ELEVENTH OCEAN ADMINISTRATION GMBH
5932,ELEVENTH OCEAN GMBH & CO. KG
5933,TWELFTH OCEAN ADMINISTRATION GMBH
5934,TWELFTH OCEAN GMBH & CO. KG
5935,FOURTEENTH OCEAN GMBH & CO. KG
5936,FIFTEENTH OCEAN GMBH & CO. KG
5937,HTTS HANSEATIC TRADE TRUST & SHIPPING GMBH
5938,MARANER HOLDINGS LIMITED
5939,HOOPAD DARYA SHIPPING AGENCY SERVICES
5940,KALAN KISH SHIPPING CO
5941,KHAYBAR COMPANY
5942,MOSAKHAR DARYA SHIPPING CO
5943,RAHBARAN OMID DARYA SHIP MANAGEMENT CO.
5944,"OWHADI, Mohammad Ebrahim"
5945,PERSIA HORMOZ SHIP REPAIR YARD COMPANY PJS
5946,"RAZAVI, Esma'il"
5947,MARINE INFORMATION TECHNOLOGY DEVELOPMENT COMPANY
5948,FARADARYAY-E NIK-E GHESHM INVESTMENT
5949,IRITAL SHIPPING LINES COMPANY
5950,LONDON IRINVEST SHIP COMPANY
5951,BUSHEHR SHIPPING COMPANY LIMITED
5952,KERMAN SHIPPING COMPANY LIMITED
5953,MARBLE SHIPPING LTD
5954,MOALLEM INSURANCE CO.
5955,"KHALILI, Jamshid"
5956,"ESLAMI, Mansour"
5957,"BATENI, Naser"
5958,"YOUSEFPOUR, Ali"
5959,"YAZDAN JOO, Mohammad Ali"
5960,"SURI, Muhammad"
5961,"KHOSROWTAJ, Mojtaba"
5962,"SAEEDI, Mohammed"
5963,EP-ITE
5964,EP-ITF
5965,EP-ITG
5966,EP-ITH
5967,EP-IAB
5968,EP-IAC
5969,EP-IAD
5970,EP-IAG
5971,EP-IAH
5972,EP-IAI
5973,EP-IDG
5974,EP-CFR
5975,EP-IDA
5976,EP-IDD
5977,EP-IDF
5978,EP-CFD
5979,EP-CFE
5980,EP-CFH
5981,EP-CFI
5982,EP-CFJ
5983,EP-CFK
5984,EP-CFL
5985,EP-CFM
5986,EP-CFO
5987,EP-CFP
5988,EP-CFQ
5989,UR-BXI
5990,UR-CBD
5991,EP-IRT
5992,EP-IRR
5993,EP-IRS
5994,EP-ITI
5995,EP-ITJ
5996,EP-ITK
5997,EP-IEE
5998,EP-ITL
5999,EP-IEF
6000,EP-ITM
6001,EP-IED
6002,EP-IEB
6003,EP-IEG
6004,EP-IBK
6005,EP-IEC
6006,EP-IBL
6007,EP-IFA
6008,EP-IBS
6009,EP-IJA
6010,EP-IBN
6011,EP-IBP
6012,EP-IJB
6013,EP-IBQ
6014,EP-IBB
6015,EP-IBT
6016,EP-IBZ
6017,EP-IBC
6018,EP-IBA
6019,EP-IBD
6020,EP-ICD
6021,EP-IBG
6022,EP-ICE
6023,EP-ICF
6024,EP-IBI
6025,EP-ITA
6026,EP-ITB
6027,EP-IBJ
6028,EP-ITC
6029,EP-ITD
6030,FUTURE BANK B.S.C.
6031,BANK MELLI IRAN
6032,BANK SEPAH
6033,"AZIZ, Abdul"
6034,"BEHZAD, Morteza Ahmadali"
6035,POST BANK OF IRAN
6036,DAY BANK
6037,ATIEH SAZAN DAY
6038,BUALI INVESTMENT COMPANY
6039,DAMAVAND POWER GENERATION COMPANY
6040,DAY EXCHANGE COMPANY
6041,DAY E-COMMERCE
6042,DAY BANK BROKERAGE COMPANY
6043,DAY IRANIAN FINANCIAL AND ACCOUNTING SERVICES COMPANY
6044,ATOMIC ENERGY ORGANIZATION OF IRAN
6045,PARS ISOTOPE COMPANY
6046,DAY LEASING COMPANY
6047,OMID BONYAN DAY INSURANCE SERVICES
6048,OMRAN VA MASKAN ABAD DAY COMPANY
6049,ROYAY-E ROZ KISH INVESTMENT COMPANY
6050,TEJARAT GOSTAR FARDAD
6051,TOSE-E DIDAR IRANIAN HOLDING COMPANY
6052,TOSE-E DONYA SHAHR KOHAN COMPANY
6053,IRAN'S NUCLEAR POWER PLANT CONSTRUCTION MANAGEMENT COMPANY
6054,NUCLEAR POWER PRODUCTION AND DEVELOPMENT COMPANY OF IRAN
6055,RADIATION APPLICATIONS DEVELOPMENT COMPANY
6056,EXPORT DEVELOPMENT BANK OF IRAN
6057,RASTIN KHADAMAT PARSIAN COMPANY
6058,URANIUM PROCESSING AND NUCLEAR FUEL COMPANY
6059,POWER PLANT EQUIPMENT MANUFACTURING COMPANY
6060,EDBI STOCK BROKERAGE
6061,AEOI BASIJ RESISTANCE CENTER
6062,EDBI EXCHANGE BROKERAGE
6063,"BANCO INTERNACIONAL DE DESARROLLO, C.A."
6064,ADVANCED TECHNOLOGIES COMPANY OF IRAN
6065,IRAN-VENEZUELA BI-NATIONAL BANK
6066,"SAFDARI, Seyed Jaber"
6067,NOVIN ENERGY COMPANY
6068,ATOMIC FUEL DEVELOPMENT ENGINEERING COMPANY
6069,MESBAH ENERGY COMPANY
6070,TAMAS COMPANY
6071,NUCLEAR INDUSTRY EXPLORATION AND RAW MATERIALS PRODUCTION COMPANY
6072,NOVIN PARS MINERAL EXPLORATION AND MINING ENGINEERING COMPANY
6073,"REZVANIANZADEH, Mohammed Reza"
6074,THE NUCLEAR REACTORS FUEL COMPANY
6075,NUCLEAR SCIENCE AND TECHNOLOGY RESEARCH INSTITUTE
6076,"AGRICULTURAL, MEDICAL, AND INDUSTRIAL RESEARCH CENTER"
6077,JABBER IBN HAYAN
6078,BANK TEJARAT
6079,BANK TORGOVOY KAPITAL ZAO
6080,PERSIA INTERNATIONAL BANK PLC
6081,MELLAT BANK CLOSED JOINT-STOCK COMPANY
6082,FIRST EAST EXPORT BANK PLC
6083,EUROPAISCH-IRANISCHE HANDELSBANK AG
6084,BANK OF INDUSTRY AND MINE
6085,"TAN, Wee Beng"
6086,WEE TIONG (S) PTE LTD
6087,WT MARINE PTE LTD
6088,NYMEX STAR
6089,LIMITED LIABILITY COMPANY SOUTHERN PROJECT
6090,"MENDOZA GAYTAN, Gonzalo"
6091,"ROSAS CAMBA, Liliana"
6092,"GONZALEZ VALENCIA, Ulises Jovani"
6093,"BARAJAS SAHD, Ana Paulina"
6094,FAXON
6095,DERYA
6096,DIONA
6097,DUNE
6098,"GONZALEZ VALENCIA, Erika"
6099,AYANDEH BANK
6100,GHAVAMIN BANK
6101,"AVELAR GUTIERREZ, Isidro"
6102,"JAFIELA BOUTIQUE, S.A. DE C.V."
6103,"ARQUITECTURA Y DISENO EN BALANCE, S.A. DE C.V."
6104,ISLAMIC REPUBLIC OF IRAN - CHINA SHIPPING LINES
6105,ISLAMIC REPUBLIC OF IRAN - MIDDLE EAST SHIPPING LINES COMPANY
6106,PERSIAN GULF SABZ KARAFARINAN
6107,SHIPPING WELFARE SERVICES INSTITUTE
6108,ESAIL SHIPPING LIMITED
6109,WITSHIPPING MARITIME PTE LTD
6110,FIRST ISLAMIC INVESTMENT BANK LIMITED
6111,OGHYANOUS KHOROSHAN KISH
6112,SHOMAL CEMENT COMPANY
6113,"DAJMAR, Mohammad Hossein"
6114,BMIIC INTERNATIONAL GENERAL TRADING L.L.C.
6115,BELIZE SHIP AND LOGISTIC LIMITED
6116,BELIZE SHIPPING LINE SERVICE LIMITED
6117,FUTURE AGE SHIPPING LIMITED
6118,GOLDEN ENTERPRISE SHIPPING LIMITED
6119,INTERNATIONAL EXPERTISE GROUP LIMITED
6120,INTERNATIONAL TANKER LIMITED
6121,INTERSEAS SHIPYARD LTD
6122,MIRACLE TRANSPORTATION LIMITED
6123,MOMENT INVESTMENT LIMITED
6124,NATIONWIDE SHIPPING LTD
6125,NEW AGE SHIPPING LIMITED
6126,PACIFIC SHIPPING AND TRANSPORTATION LIMITED
6127,PALM SERVICE LIMITED
6128,STAR SHIP MANAGEMENT LIMITED
6129,WORLDFAST INTERNATIONAL LIMITED
6130,ATLANTIC SHIPPING & TRANS
6131,DIAMOND TRANSPORTATION LIMITED
6132,DIMOND TRANSPORTATION LIMITED
6133,EMPIRE MARITIME SERVICES LIMITED
6134,EUROPE TRANSPORTATION LIMITED
6135,GLOBAL AGE LIMITED
6136,GLOBAL UNITED SHIPPING LIMITED
6137,PACIFIC OCEAN SHIPPING LIMITED
6138,SPEED TRANSPORTATION LIMITED
6139,SPRING SHIPPING LIMITED
6140,TARGET TRANSPORTATION LIMITED
6141,UNIVERSAL SHIPPING AND TRANSPORTATION LIMITED
6142,UNIVERSE SHIPPING LIMITED
6143,WORLDWIDE SHIPPING & TRANSPORTATION LIMITED
6144,AZAR PAD QESHM
6145,ATLAS KIAN QESHM
6146,POUYA TAMIN KISH
6147,DARYANAVARD KISH
6148,PARSIAN OIL AND GAS DEVELOPMENT
6149,MOTOJEN
6150,GHADIR INVESTMENT AND INDUSTRY DEVELOPMENT
6151,GHADIR ELECTRICITY AND ENERGY INVESTMENT
6152,IRANIAN NOVIN INDUSTRY DEVELOPMENT
6153,NEGIN KISH INTERNATIONAL SAHEL AND FARASAHEL DEVELOPMENT
6154,SOUTH ALUMINUM COMPANY
6155,GHADIR MANAGEMENT AND COMMERCIAL SERVICES
6156,RAAHBAR INFORMATICS SERVICES
6157,SAKHTEMAN INTERNATIONAL DEVELOPMENT
6158,A.S.P. BUILDERS
6159,BAGHMISHEH RESIDENTIAL DEVELOPMENT
6160,BEHSAZAN PARS EQUIPMENT DEVELOPMENT
6161,AZERBAIJAN CONSTRUCTION
6162,GHADIR KHUZESTAN CONSTRUCTION INDUSTRY DEVELOPMENT
6163,FARS SARPANAH
6164,PARS SAZEH ENGINEERING AND CONSTRUCTION
6165,GHADIR PAYMAN COUNSELING ENGINEERS
6166,KISH ROOYA-E ZENDEGI
6167,OFOQ SAZEH PAYAH
6168,TISA KISH
6169,NARENJESTAN HOTEL AND BUILDING DEVELOPMENT
6170,MOMTAZ ELECTRIC
6171,PAYVAR ANDISH
6172,MOTOJEN AUTO INDUSTRY COMPANY
6173,KARAMAAD SYSTEMS MANAGEMENT
6174,HAMOON SEPAHAN INVESTMENT
6175,VASEPARI SEPEHR PARS
6176,HAMOON SEPAHAN MANAGEMENT SERVICES
6177,PARS PAIDAR SANAT NOVIN
6178,SHIRAZ PARS FARAYAND OIL REFINERY
6179,AZAR INVESTMENT
6180,HAMOON SEPAHAN COMMERCIAL TRADING
6181,DAY INVESTMENT
6182,KISH ASIA NAVAK
6183,SEPAHAN CEMENT
6184,SOUTH IRAN DARYABAN KISH
6185,SEPAHAN CEMENT INVESTMENT
6186,SEPAHAN CEMENT CONCRETE PRODUCTS
6187,IRAN MERINE SERVICES
6188,SEPAHAN CEMENT RAHNAVARD PRODUCTS TRANSPORTATION
6189,PARSIAN RAIL TRANSPORT DEVELOPMENT
6190,MAPNA KHUZESTAN ELECTRICITY GENERATION
6191,GHADIR OXIN ELECTRICITY GENERATION DEVELOPMENT
6192,GHADIR ABU MUSA HAMOON
6193,SEPAHAN CEMENT PAKAT-SAZI SHAFAGH
6194,QOM ENERGY GENERATION GOSTAR
6195,GILAN ELECTRICITY TRANSMISSION DEVELOPMENT
6196,SHARQ CEMENT
6197,GILAN ELECTRICITY GENERATION MANAGEMENT
6198,HORMOGAN ELECTRICITY AND POWER GENERATION
6199,SHARQ CEMENT MANUFACTURERS
6200,SHARQ CEMENT INDUSTRIAL LIMESTONE
6201,GHADIR LAMORD ENERGY
6202,SHARQ WHITE CEMENT
6203,GHADIR CASPIAN GILAN ENERGY
6204,SHARQ COALMINES
6205,GHADIR SOLAR ELECTRICITY AND ENERGY
6206,SEPEHR MASHAHD CEMENT TRANSPORTATION
6207,GHADIR PISHRO ELECTRICITY GENERATION
6208,PARS GHA'EM GOSTAR
6209,KURDISTAN CEMENT
6210,PAYANDEH JAAM ELECTRICITY ENERGY
6211,ARJAN ELECTRICITY AND ENERGY GENERATION MANAGEMENT
6212,TARABAR-GOROUS TRUST TRANSPORTATION
6213,POUYAN TABAAN ENERGY
6214,GHADIR REAL-TIME SYSTEMS DEVELOPMENT
6215,DANA INTEGRATED SYSTEM FOR ELECTRONIC INTERACTIONS CO.
6216,GHADIR MAZANDARAN ELECTRICITY AND ENERGY GENERATION
6217,RAAHBAR COMPUTER RESOURCES MANAGEMENT
6218,GHADIR MEHRIZ SOLAR ENERGY
6219,RAILCOM RAAHBAR CO.
6220,FANAVARAN ETEMAAD RAAHBAR CO.
6221,GHADIR TEHRAN ELECTRICITY AND ENERGY GENERATION DEVELOPMENT
6222,RAAHBAR SARIR INTEGRATED TRACKING SYSTEMS INC
6223,GHADIR QOM SOLAR ENERGY GENERATION DEVELOPMENT
6224,DAMAVAND ELECTRICITY AND POWER ENGINEERING
6225,PARS INTERNATIONAL INDUSTRY DEVELOPMENT
6226,TAKHTEH SHAHID BA HONAR
6227,GHADIR KANI ARIYA
6228,NEYRIZ STEEL
6229,PARS NICKEL KARAN KABIR
6230,GHADIR ETEZAD INVESTMENT
6231,GHADIR INDUSTRIAL TRADING
6232,GHADIR PETRO ARMAN KISH
6233,GHADIR CASPIAN STEEL TRADING
6234,ZARIN PERSIA INVESTMENT
6235,ARMAN RESOURCES EQUIP AND SUPPORT MANAGEMENT
6236,SEPEHR IRANIAN INSURANCE SERVICES
6237,TEJARAT PAYDAR PAYMAN DEVELOPMENT
6238,GHADIR INTERNATIONAL TRADING AND DEVELOPMENT
6239,IRANIAN TITANIUM DEVELOPMENT
6240,"G Y R ARQUITECTOS, S. DE R.L. DE C.V."
6241,"GRANATURA, S. DE P.R. DE R.L. DE C.V."
6242,"OPERADORA RESTAURANTERA DEL SOL NACIENTE, S. DE R.L. DE C.V."
6243,IRAN NUCLEAR REGULATORY AUTHORITY
6244,"NASRALLAH, Jawad"
6245,"AL-ZAYDI, Shibl Muhsin 'Ubayd"
6246,"HASHIM, Yusuf"
6247,"KAWTHARANI, Adnan Hussein"
6248,"FARHAT, Muhammad 'Abd-Al-Hadi"
6249,AL-MUJAHIDIN BRIGADES
6250,"A&A ESTUDIO ARQUITECTONICO, S. DE R.L. DE C.V."
6251,"ALBOSTANI, Meshal Saad M."
6252,"TUBAIGY, Salah Muhammed A."
6253,"ALARIFI, Naif Hassan S."
6254,"ALZAHRANI, Mohammed Saad H."
6255,"ABAHUSSAIN, Mansour Othman M."
6256,"ALOTAIBI, Khalid Aedh G."
6257,"ALHAWSAWI, Abdulaziz Mohammed M."
6258,"ALSEHRI, Waleed Abdullah M."
6259,"ALHARBI, Thaar Ghaleb T."
6260,"ALSEHRI, Turki Muserref M."
6261,"MUTREB, Maher Abdulaziz M."
6262,"ALBALAWI, Fahad Shabib A."
6263,"ALOTAIBI, Badr Lafi M."
6264,"ALMADANI, Mustafa Mohammed M."
6265,"ALQAHTANI, Saif Saad Q."
6266,"AL-OTAIBI, Mohammad"
6267,"AL-QAHTANI, Saud"
6268,"BADI, Salah"
6269,"'ABD AL-NASIR, Hajji"
6270,"AMTCHENTSEV, Vladlen"
6271,MAIWAND EXIM PRIVATE LIMITED
6272,MAIWAND TOBACCO LIMITED
6273,MAIWAND BEVERAGES LIMITED
6274,TADBIR KISH MEDICAL AND PHARMACEUTICAL COMPANY
6275,PROMSYRIOIMPORT
6276,GLOBAL VISION GROUP
6277,"ALCHWIKI, Mhd Amer"
6278,"DOGAEV, Andrey"
6279,"AL-BAZZAL, Muhammad Qasim"
6280,"SAJJAD, Rasoul"
6281,"MURILLO DE ORTEGA, Rosario Maria"
6282,"MONCADA LAU, Nestor"
6283,"YAGHOUBI MIAB, Hossein"
6284,"KHORASHADIZADEH, Ali"
6285,"GHORBANIYAN, Mohammad"
6286,"PERALTA, Cesar Emilio"
6287,CESAR PERALTA DRUG TRAFFICKING ORGANIZATION
6288,"DEL ROSARIO PUENTE, Ramon Antonio"
6289,"VALDEZ GARCIA, Bernardo Antonio"
6290,"SANCHEZ NOLASCO, Boarnerges"
6291,"URENA MARTINEZ, Jhonan Alexander"
6292,"CASTRO CORDERO, Natanael"
6293,"FERNANDEZ CONCEPCION, Carlos Ariel"
6294,"JAQUEZ ARAUJO, Yadher Rafael"
6295,"FERNANDEZ FLAQUER, Kelvin Enrique"
6296,BARBARO RECORDS SRL
6297,INKUORTYN FIVE SRL
6298,SUPLINKA SRL
6299,FLOW GALLERY LOUNGE SRL
6300,UNLIMITED DANCE DISCOTECA SRL
6301,SOLUGA SOLUCIONES GASTRONOMICAS SRL
6302,GONZALEZ PENUELAS DRUG TRAFFICKING ORGANIZATION
6303,"NUNEZ MOLINA, Adelmo"
6304,"PAYAN MERAZ, Raul"
6305,"PAYAN MERAZ, Juana"
6306,"PAK, Kwang Ho"
6307,"DIMITRY, Gregory Vasili"
6308,"MISHKIN, Alexander Yevgeniyevich"
6309,"CHEPIGA, Anatoliy Vladimirovich"
6310,"OLAWO, Obac William"
6311,"MORENETS, Aleksei Sergeyevich"
6312,GOLDEN WINGS AVIATION
6313,CROWN AUTO TRADE
6314,AFRICANA GENERAL TRADING LTD
6315,"SEREBRIAKOV, Evgenii Mikhaylovich"
6316,"SOTNIKOV, Oleg Mikhaylovich"
6317,"MININ, Alexey Valerevich"
6318,"NETYKSHO, Viktor Borisovich"
6319,"BELTRAN GARCIA, Victor Francisco"
6320,"ANTONOV, Boris Alekseyevich"
6321,"YERMAKOV, Ivan Sergeyevich"
6322,"LUKASHEV, Aleksey Viktorovich"
6323,"KOZACHEK, Nikolay Yuryevich"
6324,"MALYSHEV, Artem Andreyevich"
6325,"OSADCHUK, Aleksandr Vladimirovich"
6326,"POTEMKIN, Aleksey Aleksandrovich"
6327,"KOVALEV, Anatoliy Sergeyevich"
6328,"BOYARKIN, Victor Alekseyevich"
6329,"GONZALEZ DELLAN, Leonardo"
6330,"GORRIN BELISARIO, Raul"
6331,"PERDOMO ROSALES, Gustavo Adolfo"
6332,"RIM GROUP INVESTMENTS, CORP."
6333,RIM GROUP INVESTMENTS I CORP.
6334,RIM GROUP INVESTMENTS II CORP.
6335,RIM GROUP INVESTMENTS III CORP.
6336,"MAGUS HOLDINGS USA, CORP."
6337,MAGUS HOLDING LLC
6338,"MAGUS HOLDING II, CORP."
6339,CORPOMEDIOS LLC
6340,"RIM GROUP PROPERTIES OF NEW YORK, CORP."
6341,RIM GROUP PROPERTIES OF NEW YORK II CORP.
6342,TINDAYA PROPERTIES HOLDING USA CORP.
6343,TINDAYA PROPERTIES OF NEW YORK CORP.
6344,TINDAYA PROPERTIES OF NEW YORK II CORP.
6345,"GLOBOVISION TELE CA, CORP."
6346,CONSTELLO NO. 1 CORPORATION
6347,CONSTELLO INC.
6348,"POSH 8 DYNAMIC, INC."
6349,GLOBOVISION TELE C.A.
6350,SEGUROS LA VITALICIA C.A.
6351,WINDHAM COMMERCIAL GROUP INC.
6352,"CORPOMEDIOS GV INVERSIONES, C.A."
6353,POTRICO CORP.
6354,"DIAZ GUILLEN, Claudia Patricia"
6355,"VELASQUEZ FIGUEROA, Adrian Jose"
6356,NEVSKIY NEWS LLC
6357,ECONOMY TODAY LLC
6358,FEDERAL NEWS AGENCY LLC
6359,"KHUSYAYNOVA, Elena Alekseevna"
6360,USA REALLY
6361,"MALKEVICH, Alexander Aleksandrovich"
6362,"ZHENG, Fujing"
6363,DALIAN HAIBO INTERNATIONAL FREIGHT CO. LTD.
6364,LIAONING DANXING INTERNATIONAL FORWARDING CO. LTD.
6365,"PLANET 2 REACHING, INC."
6366,"KATINTIMA, Norbert Basengezi"
6367,"BASENGEZI, Marcellin"
6368,"ZHENG, Guanghua"
6369,ZHENG DRUG TRAFFICKING ORGANIZATION
6370,"QINSHENG PHARMACEUTICAL TECHNOLOGY CO., LTD."
6371,"L-INMO, SOCIEDAD ANONIMA DE CAPITAL VARIABLE"
6372,FLIGHT TRAVEL LLC
6373,QESHM FARS AIR
6374,EP-FAA
6375,EP-FAB
6376,FATEMIYOUN DIVISION
6377,ZAYNABIYOUN BRIGADE
6378,"PETROLEOS DE VENEZUELA, S.A."
6379,NEW HORIZON ORGANIZATION
6380,"ORDOUBADI, Nader Talebzadeh"
6381,"TALEBZADEH, Zeinab Mehanna"
6382,"MONTAZAMI, Gholamreza"
6383,"GHASHGHAVI, Hamed"
6384,"BASTARDO MENDOZA, Rafael Enrique"
6385,"LACAVA EVANGELISTA, Rafael Alejandro"
6386,NET PEYGARD SAMAVAT COMPANY
6387,"SHIRINKAR, Mohammad Bagher"
6388,"ABBASI, Hossein"
6389,"MASOUMPOUR, Mojtaba"
6390,"PARVAR, Hossein"
6391,"MIRZABEYGI, Milad"
6392,"HERNANDEZ DALA, Ivan Rafael"
6393,"NANGAA, Corneille Yobeluo"
6394,"QUEVEDO FERNANDEZ, Manuel Salvador"
6395,"RODRIGUEZ MUCURA, Hildemaro Jose"
6396,"FERRARI, Sergio David"
6397,"FRENZEL, Conrado Adolfo"
6398,"PAURA, Jorge Alejandro"
6399,"BRUNETTI, Luciano"
6400,"PAURA, Lucas Daniel"
6401,"VIDEMATO, Santiago"
6402,GOLDPHARMA DRUG TRAFFICKING & MONEY LAUNDERING ORGANIZATION
6403,"CEBALLOS ICHASO, Remigio"
6404,"CARRIZALEZ RENGIFO, Ramon Alonso"
6405,"PRIETO FERNANDEZ, Omar Jose"
6406,"GARCIA CARNEIRO, Jorge Luis"
6407,"MANTILLA OLIVEROS, Jesus Maria"
